id	tweet	subtask_a
20948	en güzel uyuyan insan ödülü jeon jungkook'a gidiyor ...	NOT
10134	mekanı cennet olsun , saygılar sayın avukatımız , iyi günler dilerim	NOT
23457	kızlar aranızda kas yığını beylere düşenler olduğunu görüyorum yapmayın allah aşkına	NOT
18401	biraz ders çalışayım . tembellik ve uyku düşmanımızdır .	NOT
17525	trezeguet yerine el sharawy daha iyi olmaz mı	NOT
11996	bence de olması gerekiyor . hatta meslek lisesine ön hazırlık olarak ortaokulda bile çıraklık tarzında eğitimler verilip temeli hazırlanmalıdır . lise çağına gelen bir çocuk için bir çok konuda vakit geçmiş oluyor . o nedenle de meslek liselerinde istenilen performans yakalanamıyor .	NOT
38452	mutlu görünümlü ama daima mutsuz olanlar burada mı ? mutlu olun olmaya çalışın sizi mutlu edecek şeyler yapın çok düşünürseniz mutsuz olursunuz hayatı akışına bırakın zaten olacak bir şey olacaksa birgün elbet olur siz yine de mutlu olun .	NOT
12615	100 liraya traş oldum arkadaşım diyor ki ne kesiyor o kurban mı kesiyor ağshsn	NOT
13520	reis bu ülkenin devlet başkanı ve ak parti genel başkanı saygı duyacaksınız hergele	OFF
45562	var olan , ancak düşünüldüğü kadarıyla vardır . hannah arendt	NOT
20724	şu kodumun sitesine günlerce giremeyecek kadar meşgul olduğumda bütün sosyal medya hesaplarımı kapatıcam amk .	OFF
24529	buralara değil yaz günü , kışın bile kar yağmıyor	NOT
13853	prodüktivite arz cazibesi tolerans kolacı tomruklamasana	NOT
15493	muavinlerini arabı çıkar bozuk olur öyle bide tecavüz olayı oldu ya ondan biraz millet uzak duruyor ama metronun yolcudan yana sıkıntısı yok bu arada zaten .	NOT
13276	yalnız bunlar harabe bir yerdeler ne işleri var orada çözemedim neresi orası	NOT
44185	bundan sonra katiyen arkadaşlarıma " dışarı çıkalım " cümlesini kurmayacağım	NOT
10647	aracı ekürisinin en kötü tayı bile olsa bursa da bu gruplara geçilmez ismail dinar hep kendi çalıştırmış ve biniyor count on me kazanır kısacası galoşları da müthiş	NOT
37568	200 bin euro ya deportivo da oynuyordu , şimdi 2,5 milyon euro alıyor	NOT
15984	aşk ödü evvel düşer maşuka , andan aşıka , şemi gör kim , yanmadan yandırmadı pervâneyi - gay bir - ( aşk ateşi evvela düşer mumu yakar sonra pervaneler ondan yanar ; yani gönlüne ateş düşüp yanmak nasıl olan ey falanca , bil ki seni yakan senden evvel yandı )	NOT
20290	bundan 20 yıl sonrayaptıklarından çok yapmadığın şeylerden pişmanlık duyacaksın	NOT
46099	... aşk ile ölmeden toprak olanlar canım yunus ( ks ) gibi cânında Cane'ne bulanlardır . . " askere kuldum bugün pinhânumi can virüben buldum ol cânânumi "	NOT
43375	çıkış birkaç kere yapman lazım . aslında bir tane merhem vardı adını hatırlamıyorum o hemen geçiriyor ya	NOT
44928	affetmek ve unutmak iyi insanların intikamıdır .	NOT
26789	eleştirebilirsin beğenmeyebilirsin siyasi görüşün sana ama dikkat et akp değil ak partidir	NOT
20741	aşkta öyle bir şey olsa gerek	NOT
26141	nasıl o * * * çocuklarıyla aynı devre denk geldik	OFF
