id	subtask_b
1114191994727825408	non
1041019774556356609	non
1079326722489753600	trg
1078280278152499200	non
1139650753444876288	non
1113220125526822913	non
1072568376214589440	trg
1002207836414324737	non
1176818763058094082	non
1162737570507370498	non
1160894594785206272	non
1153552731782746112	non
1037188664445612038	non
1117616526436253701	non
1031582572239880192	non
980423532537622531	non
1134382949053452289	non
1158426823585345536	non
1169636990364639232	non
1034497078133772290	prof
1035241968731746304	non
1048860940626747392	non
1116587553576996864	trg
1116655980559908864	non
989860412521963520	non
1116811211251822594	non
1025051191250771969	non
979037728145731584	non
1025102721861525505	non
1172478581697630209	trg
1099172021706153984	non
1140028528966152199	non
1005891318906871808	non
1101483850474180609	non
987024553191845888	non
1162492448205148160	non
1144817470538227713	trg
1171914446278709249	non
1071429510652936192	non
1159587567370670081	non
1071418802561273857	non
1089204378169495557	non
1169818282829864960	non
982517737418346496	non
1115910231484190721	non
1166584847617466368	trg
1156599190241386496	non
1169303718350790656	non
1042881842821701633	non
1144977764396740609	non
988673450511347712	non
1005812158649675777	non
988314686285283328	non
984288315687014403	prof
979847662940950531	non
1034661900020150274	trg
1027668155504750594	prof
1037203692318089217	prof
1148286316590829568	non
994489563648315392	non
1145552361173266432	non
1008841602641596416	trg
1157973254604279810	non
1003261414507720704	non
1161643300371218432	non
1133007751175712768	non
1161891529746800640	non
1165321685832216580	non
1119273888972705792	non
1034371892126343168	trg
1168776379237900288	non
1067872153394192384	non
1167874769229729793	non
1140879522813882368	non
1075403491865214976	non
1121871723194933250	non
1171039714880774144	non
1105122675587010560	non
1054971825015402496	trg
995281865044000768	trg
1143938588817723397	non
1080558138649202688	prof
1070635152211095554	non
1140566504930328581	non
1053500188508282881	non
988019573483098112	non
998431440781135872	non
991118497769033729	non
1171407825563738115	non
1045006432138137601	oth
1097921073931268098	non
1112700740508794880	oth
1097956241865871366	non
1173107303219957760	non
1088155738684510208	non
1162467273103294464	non
1110846544339763201	prof
1027928034769285120	non
1147949532614942721	non
1051518927224926208	non
1083306041943748608	non
1162135472971440129	non
1137650927471607808	trg
1157527167028420608	prof
1126401374697283584	non
1077317992831172608	non
1113447326524297217	trg
1125698984033628160	non
997898977180815361	non
1076787667122176001	non
1171832583249965057	non
1161265061186457600	non
1104452683157647361	non
1034480731022663680	trg
1044917145619111936	non
1145218495602409473	non
1157706880300589058	non
1149256317837729792	trg
1016290655851745280	trg
1089582302429089792	non
977481107649318917	non
1047236561467842562	non
1025244824134275073	non
975745405618147328	non
1119537334423363585	non
1090964320274534400	prof
1056669069737422854	non
1056932733212073985	non
1077502643801604096	non
1159504915879931904	non
1001946204740177920	non
1176174689833619458	non
1016713298723639296	non
1134488925966413824	non
1112018358604423168	non
1051857181396664320	non
980749958637936640	non
1161729847401635840	non
1003441938585055232	non
1034354814472384513	non
1046680443037384705	non
1134981055658807296	non
1112485802620174337	oth
1024304613380575232	non
987087185089302528	oth
1001954681151770624	non
973569114777243648	trg
1167427741031043072	non
985977759942967297	non
1174135964647788544	non
1094043392584097803	prof
1122108057616572416	non
1119168485483892736	non
1059133051249278977	non
1158742398496890881	non
1091854651538980864	non
978281781949497350	non
1099956238484492289	non
1058011211521056772	trg
1166695912212762624	non
1131136429852110855	non
983129312646914049	non
1034796080309911552	non
1151781040421253120	trg
1161057267954999296	prof
992050489071230987	non
990872652742053888	non
1165617743477035009	non
1154058971336065024	non
1178712280755773440	non
1160242850560450561	non
1148148988920717312	trg
1167210695634640897	non
1052063428624437248	non
1094557411346649088	non
1098213368832446466	non
1161994419127685121	non
1140995367632289792	non
1173228666253381639	non
1142472768933519360	non
1116800584143732736	non
1171898249453678592	non
984188450189520896	non
1051595353005465606	non
1004797801971273735	non
1048283469971972096	non
1003744653856923648	non
1087848947278888960	oth
1151068701287993344	non
975746374368153601	non
994890158976786432	non
1152187709940785152	non
1162052412447830018	non
1019647642572394498	non
1023696320383598593	non
1117843802440519681	trg
1031798578254176256	non
1005228780632371202	non
1123670141013831682	non
1081997921674035205	non
1029774124040835073	prof
1133072208715292672	trg
1097733857456078849	non
1021117111098277888	non
1148845771065909249	non
1017765170678988801	non
1114283750492397570	non
1006577731440709632	non
1171145559085932544	non
1080824961202311168	non
974624096221847552	non
1088579838787624960	non
1020788762387902475	non
1093101401201348609	non
1172406472556204032	non
1141619529606475781	non
1027137474118787072	non
1017953259187732480	non
1026756858911105031	non
1163167270937485312	non
1104713727201423360	trg
1113901606532206600	trg
1060638836093607937	prof
1170728641677934592	non
1158014473376010241	prof
1042744716683632640	non
980090176650252288	non
1162991668217438208	non
1022039078437576704	non
1073333090226003968	non
1083086490425573381	trg
1012568858836774912	non
1087769309773029376	non
1053678804516913152	non
1160656469638955009	prof
1099340727434256384	non
1104516018569801728	trg
1024340134936936448	non
999550178783842304	non
990529851366019072	non
1167706888441610241	non
993576251641253889	non
1140785039564840960	non
1161030974588837890	non
994137555351285760	non
1166265237202513920	non
993015909911613440	non
1051356703940403200	trg
980939536132960256	non
1133309149280964609	non
1024558094624411648	trg
1033228882361692160	non
1175489940337152001	non
1176506957496233985	non
1177600735183331330	non
1007129962204278784	non
987083677158006784	non
1151874084512256006	non
981611505933307906	non
1041628577559715840	non
1081949659197816832	non
1162045417024118784	non
987991340591009793	non
1169624733719154688	non
1143058380749254657	non
1079345468621144065	non
989804354826883072	non
995758007119155201	non
1070303676579897344	trg
1044484888836149248	non
1174386979636678657	non
984663488244088832	non
1092772786970480640	non
996070635452403712	non
982615909754908673	trg
1107954661863112704	non
977274871091810309	non
1145722649215209473	non
986347147238002688	non
1036859526539034624	non
1176764536919138304	non
1132602237040111616	non
1097490485755678722	trg
1097974042122891265	trg
1055573061192298499	trg
1008255051746422785	non
1095032205720674307	non
974659435497971712	non
1030566657629016065	trg
1007048019550851072	non
985283003076304896	non
1007273276173766656	non
1079099012895178752	non
1078634040062808064	non
1160105925031661569	non
1100439244248621056	non
1167702540282208256	trg
1132223732339093504	trg
1107258288205455360	non
995706676752904193	non
987746889901772800	prof
1118842433528320000	non
1046313935119495169	non
1099322379069730816	non
1143190427631329280	non
1057322349488410624	non
1166311750322532355	non
1124803841470410752	non
1131328127030964224	non
1019861686243741697	non
1126172939936727041	trg
1001177077327056897	prof
1010593591796879361	non
996839842272169984	non
1103408452368519169	non
1036697288071151617	prof
1084877719169654784	non
997649257044815874	non
1107739779045752833	non
1058757745917202432	trg
1168932666470731778	non
1007257986836910080	non
1081209067606102016	non
987245306155819008	non
1001385865380286466	non
1015267728482070529	non
1133122590728491010	oth
1054058204269895681	non
1164843060775268353	non
1128074278354804738	non
986323309632589825	non
1117753261065371649	oth
978654767231758337	trg
1162140800765124611	non
1115630554509131776	trg
995693595108806657	non
1038406495510163457	non
1027265480086704129	oth
974293546281861120	non
999666017587613697	non
987447348526796801	non
1015110500961546240	trg
1115318862113853440	prof
991717587166945280	non
1113323158663249920	non
1060566638599331842	non
1115250092016111617	non
1036547855006220288	non
1123291570877411328	prof
1117771813579313152	trg
1009464611526074368	non
1091363401509548032	trg
1030387663709396992	non
1094369438890164224	non
1122505525231411202	non
1011057525280661504	trg
1168968565111840769	non
1003353161166409728	non
1078604881395617792	trg
1176444219378012160	non
1174636267734257665	non
1025153890206076928	non
1059553630515326976	oth
1021858656147537920	trg
1051876123351633920	prof
1141182648120958976	non
1146822284402933761	non
1157857068935766016	oth
1093020921936429057	non
1173174695333629954	non
1093454987672387586	non
1163066780115451904	non
1129728104228937728	non
1083681932725108741	non
1032737865015468032	non
1058457025485639680	non
985044362949201920	trg
1163364177488097280	non
982210890932957191	non
1178619489941884928	non
1140593818179448833	non
1013844774837739521	non
998095130925174784	non
1031211896442179584	non
1028692001133420544	non
1171110465067462656	non
1154834137741692929	non
1132665513727938560	trg
1168068152191664128	non
1045541959492866049	trg
1157963675115970560	trg
1145997531190628352	non
1038311584173633536	non
1172446044916838401	trg
1027106096656392193	non
996115814246993920	non
1094531137211432960	non
978302930699870209	non
1039405533915238401	trg
981991600191692800	non
1096299528318316544	non
1171367284415303680	non
1020407654693425152	trg
1112088773981032450	non
1176623883346219011	non
1164422684224176135	trg
974343246246830082	non
1105544530248564737	prof
1052629644648812544	trg
984930798989185024	non
990581199750991872	trg
1169153570991738886	trg
990323984205049856	non
976463128774004736	non
1096086237960638466	non
1123634756325978115	non
1134086212548026369	non
1093891119115587584	trg
1174632467355115520	trg
1114282222914342912	non
987457882143842305	non
1053409746232004608	non
1176394290068692993	non
988167801042030593	trg
1134540016070397952	prof
1035635713306501122	trg
973569055398486017	trg
987675753285382145	non
1105074729810051072	non
1080833725485723649	non
1161807129726115840	non
1117939673584762881	non
1110305577719205890	non
1002588696028336128	non
1127727228731691009	non
1041232822781063168	trg
1136769149177405446	non
1140735106950320128	non
1158024615756750848	non
1115543038124859392	non
1003296842145304577	non
989507757228351488	oth
1091623161500708864	non
980110841117847555	trg
1117500577448103942	non
1038484833272557568	prof
1081720071632965633	non
1009129070741917697	non
1175862959756779520	oth
1168641204373901312	non
1059712565339676672	non
1176168129212440576	non
1143800797966295040	non
1024074469357309952	non
1104038016392327168	non
1044737774010683392	trg
1009225997055557632	non
1078616872541671424	non
1081061889071894529	non
1050737891733897216	non
1155924375461343232	non
1151006091037356033	non
1012821501102493697	non
1128300160310743042	trg
1170964856364777472	non
1158256120219230208	non
1090368088846016517	non
1160945837859647489	non
1143846172508991489	non
1079185201908142080	trg
990672922292473856	non
1018194524412239873	non
1036958961570930688	trg
1025368261435813889	non
1109754840652099584	non
1155861859150553088	non
1155924019453071363	non
1001722529634021376	non
1116148234693615618	prof
1049382981062860800	non
1167767160804061185	non
1118837822780248065	non
1113170488027697152	non
1147081423066734593	non
989533571634393088	non
993483229830270978	non
1171542281750503425	non
1112423667902963712	non
980076146443374593	non
1164944172081700865	non
1118181969043628032	non
1071333382892613633	non
1047173209060245504	non
1034579307941777413	non
1150719733068652545	non
1099674626848968704	non
1165218724779085824	non
1029481360099033089	non
1143715082918092800	non
1014075015510347776	non
1109560596406722561	non
1167784585293438976	prof
1152973282628554763	non
1157470825924255744	trg
1168640150844432386	non
1011294344123428865	non
1170818541941116930	prof
1091719880376836096	non
1165291292819099653	non
979502040882798593	trg
991175475727929346	trg
1048460079249408000	non
1034074023297212416	non
1066739743977873408	non
1056312258605789186	non
1038538569189609473	non
1123141116738588683	trg
987995553630949377	non
1104539616697290753	prof
1031365832977330176	non
1089204030239371264	non
1053789277103030273	non
1160547110804172800	prof
1060489707824562176	non
1170793129643073536	non
1059432149248602113	non
1155008069409153024	non
1007159035332833281	non
1170433030521073671	prof
1084118582726967296	non
977285631389982722	non
973569101594611712	non
1163586440137191424	non
1149418918076981250	non
1090035076493176832	non
1003540899975057408	non
1032924638014332929	prof
1002395434114011136	trg
1148128472759492608	non
1011927129104281602	non
1032525489901105153	non
1135186902850707458	non
989623923439493120	non
1159960722643791872	non
1104144531916771330	non
1155407247171715072	non
978673240511041542	non
1169971453141364737	non
1102328048500776961	non
1174365292077735936	non
1045698520676798464	non
1059424077046267904	non
1127242928307437570	trg
1084365767964016642	non
1105973363808325633	non
1138409159127384064	non
1018334847163617280	non
1049145006148268033	non
990203732716609538	non
992298073660387331	non
1015141993956167681	non
1021905538131668993	non
1079293504361320448	non
992416199588876289	non
1134513685530075137	non
1034856291494240256	trg
994672948559704064	non
1119327755945041920	non
1161228307314237440	non
1152448166278705152	trg
1163067978084208641	non
989319862567817221	non
1135497319451959297	non
1156096561908256769	non
1124053105774137344	non
1149287343330856960	non
1116793063840423936	non
1104679879918972930	non
1043174329972875265	non
1011724778896584705	non
1096550878369271809	trg
990199652271165440	non
1076931827443601408	non
1155241400339968000	non
1014058283815112704	non
1156581861315006467	trg
982102640740909058	non
1077187656327618564	prof
981693114539757568	non
1026429370456571905	non
1089864984811708416	trg
1073453911774846978	non
1032628695637413888	non
1056191424411123713	trg
1052671624908951552	trg
984808362104803328	trg
1026016162637926400	non
1033157918877773825	non
1078520876281356288	non
1116604589015359490	trg
1083685939459907585	non
1011275006830104577	oth
1140726620568862720	non
