id	subtask_b
1089289624541949953	non
1010203358664298496	non
1074579103716663296	non
1140944458269253632	grp
1014964318000025600	non
1174755622962814976	non
1012356008398778369	non
1051455062806093825	non
1161700758556938252	prof
1076126081349021696	non
1117500577448103942	non
1023214556074729477	non
1138187850502066176	non
1004778723344896001	non
1115543038124859392	non
1034215537104941056	prof
987622957920014336	non
978723886912110592	non
1112728342191575041	oth
1146677079427166208	non
1178034162294493184	non
977201444817313793	non
1090756028839456772	prof
1159722001038290944	non
984518328612827136	non
1040973778367463426	non
1056636244447371265	non
1140561988436840453	non
1081651020839690246	non
1005432282453364736	non
1077360746076483584	non
1088032654660960257	prof
1097981806635307008	non
1158514901985480704	non
1025281403125198848	non
1089319017700122625	ind
1003337131341774849	non
989367087356366848	non
1150164665722449920	oth
1081005513817632770	ind
1134998117517090821	non
1153345509635108864	non
1153790422663065600	non
1005355237111103489	non
1174268394536914944	non
988841466620530688	non
974268994881499136	non
1105532259073970176	non
1108451505940631552	non
1134327161295376391	prof
1011293792618631169	prof
1059803363775340545	non
1091823668173385733	prof
1049866778267013127	non
1161622687074127873	non
1145649507901804545	non
1145740369725972481	non
1016990974449541120	non
1096291793388343296	non
993112048925138945	non
1060945665235279872	grp
1082188967322271746	ind
1143523203979067392	non
1138350481573654528	non
1131862461563494406	non
1176502270453788673	non
1143144823085514752	non
1125379584327860224	oth
1118825811103166464	non
1027570363918626816	non
1138696047256113153	non
1163658447168180224	non
1160261319964209154	grp
986337351122280450	non
1158617770583609344	non
1153779528227065857	non
1045761949315858432	non
1075422919638044673	non
1150710176598675458	non
1011737850730119168	non
1172898045710741504	non
1069917811680706561	non
1080328930446462981	non
1162471051676332032	non
1134101699327614980	non
1169276367789277184	non
1080858958586413056	non
1110304053404332034	non
1162974485106089984	non
1128045252982583298	non
975812677695090690	prof
1076200963017457667	non
1160277446425481216	non
1082854496877924353	non
1172208506512052224	non
977243706473541632	non
1147234416592392192	non
996239806689505281	non
984928320671440896	non
998366928740773893	non
1153709346544599041	non
1032041647444512768	non
1028766958169280513	ind
976851536168083456	ind
979320363409604608	non
1072854255474798592	non
1138424132847263744	non
1059924312327684098	non
1130758989220913153	non
1151589726039814153	ind
1041126611859517440	non
1003179611738566658	ind
1042156437030543360	non
986226658385498112	non
1044710397008367619	non
991185468602683392	non
1175515722702884867	non
1080402464850038784	non
1115000747987542019	ind
1087671453808500736	grp
1170990606543478784	non
1109393604454293504	prof
989490983200010241	non
1159850880834969602	non
1016055037003517952	non
1150459245583720448	non
979391836916715521	non
1072193009909936130	non
1107016139559895041	non
